08,Gen_V_L1-N
09,Gen_V_L2-N
10,Gen_V_L3-N
13,Gen_V_L1-L2
14,Gen_V_L2-L3
15,Gen_V_L3-L1
16,Gen_A_L1
17,Gen_A_L2
18,Gen_A_L3
20,RPM
21,Gen_Freq
23,W-TerminalFreq
27,Gen_kW
28,Gen_kW_L1
29,Gen_kW_L2
30,Gen_kW_L3
31,Gen_kVAr
32,Gen_kVAr_L1
33,Gen_kVAr_L2
34,Gen_kVAr_L3
35,Gen_PF
36,Gen_PF_L1
37,Gen_PF_L2
38,Gen_PF_L3
58,Battery_Volts
61,Oil_Pressure
62,water_temp
148,ECU_State
3000,Run_Hours1
3001,Run_Hours2
3006,Energy_kWh1
3007,Energy_kWh2
